OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
W00006780,212,208,205,3,2,1,0,0,0,0,0,4,0,0,0,98.11320754716981,96.69811320754717,1.4150943396226416,0.9433962264150944,0.4716981132075472,0,0,0,0,0,1.8867924528301887,0,0,0
W00010274,186,186,178,8,4,4,0,0,0,0,0,0,0,0,0,100,95.6989247311828,4.301075268817205,2.1505376344086025,2.1505376344086025,0,0,0,0,0,0,0,0,0
W00010287,373,355,352,3,2,1,0,0,0,0,1,13,3,1,0,95.17426273458445,94.36997319034852,0.8042895442359249,0.5361930294906166,0.2680965147453083,0,0,0,0,0.2680965147453083,3.485254691689008,0.8042895442359249,0.2680965147453083,0
W00006840,213,208,206,2,2,0,0,0,0,0,2,3,0,0,0,97.65258215962442,96.71361502347418,0.9389671361502347,0.9389671361502347,0,0,0,0,0,0.9389671361502347,1.4084507042253522,0,0,0
W00006841,227,226,219,4,2,2,0,0,3,3,0,1,0,0,0,99.55947136563876,96.47577092511013,1.762114537444934,0.881057268722467,0.881057268722467,0,0,1.3215859030837005,1.3215859030837005,0,0.4405286343612335,0,0,0
W00006849,284,283,282,1,1,0,0,0,0,0,0,1,0,0,0,99.64788732394366,99.29577464788733,0.35211267605633806,0.35211267605633806,0,0,0,0,0,0,0.35211267605633806,0,0,0
W00006850,197,196,182,14,0,10,4,0,0,0,1,0,0,0,0,99.49238578680203,92.38578680203045,7.1065989847715745,0,5.0761421319796955,2.030456852791878,0,0,0,0.5076142131979695,0,0,0,0
W00006851,285,275,236,39,11,17,10,1,0,0,0,10,0,0,0,96.49122807017544,82.80701754385966,13.684210526315791,3.8596491228070176,5.964912280701754,3.508771929824561,0.3508771929824561,0,0,0,3.508771929824561,0,0,0
W00006852,307,307,281,26,6,20,0,0,0,0,0,0,0,0,0,100,91.53094462540716,8.469055374592834,1.9543973941368076,6.514657980456026,0,0,0,0,0,0,0,0,0
W00006890,363,342,268,62,22,24,16,0,12,12,3,17,1,0,0,94.21487603305785,73.82920110192838,17.079889807162534,6.0606060606060606,6.6115702479338845,4.40771349862259,0,3.3057851239669422,3.3057851239669422,0.8264462809917356,4.683195592286501,0.27548209366391185,0,0
